Provinsi,Kuintil Pertama,Kuintil Kedua,Kuintil Ketiga,Kuintil Keempat,Kuintil Kelima
Aceh,1559.07,1863.5,2038.54,2228.84,2574.43
Sumatera Utara,1648.1,1898.96,2070.2,2282.54,2568.4
Sumatera Barat,1645.65,1921.83,2103.17,2265.57,2494.01
Riau,1573.72,1850.46,2062.5,2214.23,2539.02
Jambi,1588.6,1837.4,2018.34,2225.61,2543.68
Sumatera Selatan,1742.56,1970.37,2166.57,2405.55,2670.34
Bengkulu,1661.21,1943.68,2030.5,2243.65,2420.84
Lampung,1632.01,1908.12,2087.03,2300.06,2554.05
Bangka Belitung,1596.43,1890.34,2013.61,2261.71,2530.82
Kepulauan Riau,1660.66,1963.96,2070.37,2245.82,2297.7
DKI Jakarta,1665.07,1987.44,2191.06,2417.09,2528.61
Jawa Barat,1682.32,1947.48,2128.39,2293.57,2499.94
Jawa Tengah,1579.14,1860.01,2043.44,2207.25,2434.89
D.I. Yogyakarta,1661.76,1935.91,2072.51,2181.61,2412.39
Jawa Timur,1660.82,1922.42,2061.4,2230.83,2466.43
Banten,1752.49,2053.64,2205.32,2428.25,2597.54
Bali,1918.83,2175.64,2266.56,2366.14,2590.63
Nusa Tenggara Barat,1883.94,2276.32,2557.66,2767.94,2938.93
Nusa Tenggara Timur,1497.89,1747.09,1931.61,2078.62,2435.64
Kalimantan Barat,1476.7,1738.32,1867.23,2118.72,2396.34
Kalimantan Tengah,1638.19,1910.17,2133.95,2334.62,2652.03
Kalimantan Selatan,1693.71,1986.93,2177.3,2324.63,2654.93
Kalimantan Timur,1573.26,1827.89,2017.47,2171.82,2453.21
Kalimantan Utara,1465.64,1715.02,1866.9,2042.89,2365.66
Sulawesi Utara,1682.29,1932.34,2089.83,2293.46,2526.2
Sulawesi Tengah,1535.98,1838.62,2078.41,2267.43,2556.68
Sulawesi Selatan,1625.97,1905.73,2091.04,2368.42,2560.36
Sulawesi Tenggara,1549.96,1866.85,2045.12,2202.77,2432.18
Gorontalo,1635.97,1864.76,2014.22,2118.37,2347.49
Sulawesi Barat,1616.28,1955.34,2086.75,2297.37,2541.66
Maluku,1387.53,1654.2,1829.46,1943.43,2283.78
Maluku Utara,1408.92,1623.74,1820.27,1992.56,2269.37
Papua Barat,1343.24,1596.2,1816.34,2042.05,2499.76
Papua,1402.98,1674.22,1790.51,2028.2,2617.53
Indonesia,1663.05,1919.42,2082.67,2268.17,2504.91
